,count,mean,std,min,25%,50%,75%,max
nb_routes_method,368.0,0.8777173913043478,0.47123607708946624,0.0,1.0,1.0,1.0,3.0
has_route_attr,368.0,0.8233695652173914,0.38187484482399103,0.0,1.0,1.0,1.0,1.0
nb_params,368.0,1.733695652173913,1.2373635657188677,0.0,1.0,2.0,2.0,9.0
has_form,368.0,0.16304347826086957,0.36990827091953576,0.0,0.0,0.0,0.0,1.0
is_ajax_only,368.0,0.21467391304347827,0.41115495222599435,0.0,0.0,0.0,0.0,1.0
nb_voter_checks,368.0,0.005434782608695652,0.07362047226646508,0.0,0.0,0.0,0.0,1.0
nb_response_types,368.0,0.7554347826086957,0.6263712596082038,0.0,0.0,1.0,1.0,2.0
has_render,368.0,0.27717391304347827,0.448212498471742,0.0,0.0,0.0,1.0,1.0
has_redirect,368.0,0.17119565217391305,0.3771926773405809,0.0,0.0,0.0,0.0,1.0
has_json,368.0,0.27445652173913043,0.44684754486258693,0.0,0.0,0.0,1.0,1.0
has_file_download,368.0,0.03260869565217391,0.1778519701969202,0.0,0.0,0.0,0.0,1.0
nb_method_grants,368.0,0.1331521739130435,0.3402016691465286,0.0,0.0,0.0,0.0,1.0
nb_class_grants,368.0,1.0108695652173914,0.6392189583181807,0.0,1.0,1.0,1.0,2.0
nb_constructor_deps,368.0,5.942934782608695,4.916136370481782,0.0,2.75,6.0,6.0,20.0
nb_methods_in_class,368.0,25.067934782608695,28.536190589844526,1.0,6.0,9.0,35.0,78.0
is_invoke,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file_loc,368.0,826.2445652173913,875.2181168223037,18.0,177.0,323.0,1276.0,2381.0
method_loc,368.0,28.1875,32.52138522995606,3.0,13.0,21.5,33.25,434.0
cyclomatic_complexity,368.0,4.171195652173913,5.1917495525744295,1.0,1.0,3.0,5.0,67.0
git_nb_authors,368.0,5.836956521739131,1.4729323394435347,1.0,5.0,6.0,7.0,8.0
git_days_since_change,368.0,86.85407608695652,27.841314344516178,48.9,61.0,87.8,117.9,124.0
