feature,n_unique,dominant_value,dominant_pct,variance
is_invoke,1,0.0,100.0,0.0
nb_voter_checks,2,0.0,99.5,0.0054
has_file_download,2,0.0,96.7,0.0316
nb_method_grants,2,0.0,86.7,0.1157
has_form,2,0.0,83.7,0.1368
has_redirect,2,0.0,82.9,0.1423
has_route_attr,2,1.0,82.3,0.1458
is_ajax_only,2,0.0,78.5,0.169
nb_routes_method,4,1.0,77.2,0.2221
has_json,2,0.0,72.6,0.1997
has_render,2,0.0,72.3,0.2009
nb_class_grants,3,1.0,59.2,0.4086
nb_response_types,3,1.0,54.9,0.3923
nb_params,9,2.0,37.8,1.5311
nb_constructor_deps,10,6.0,32.3,24.1684
git_days_since_change,27,61.0,28.0,775.1388
cyclomatic_complexity,21,1.0,26.1,26.9543
git_nb_authors,8,7.0,25.5,2.1695
nb_methods_in_class,16,78.0,20.9,814.3142
file_loc,52,2381.0,20.9,766006.752
method_loc,76,3.0,6.8,1057.6405
