,count,mean,std,min,25%,50%,75%,max
nb_routes_method,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_route_attr,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nb_params,183.0,1.3169398907103824,0.993433070517481,0.0,1.0,1.0,2.0,4.0
has_form,183.0,0.04371584699453552,0.20502309202618246,0.0,0.0,0.0,0.0,1.0
is_ajax_only,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nb_voter_checks,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nb_response_types,183.0,0.22404371584699453,0.47932076283301134,0.0,0.0,0.0,0.0,2.0
has_render,183.0,0.03278688524590164,0.17856692482160577,0.0,0.0,0.0,0.0,1.0
has_redirect,183.0,0.14754098360655737,0.35561735086211976,0.0,0.0,0.0,0.0,1.0
has_json,183.0,0.04371584699453552,0.20502309202618244,0.0,0.0,0.0,0.0,1.0
has_file_download,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nb_method_grants,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nb_class_grants,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nb_constructor_deps,183.0,1.53551912568306,1.9322581529617475,0.0,0.0,1.0,3.0,7.0
nb_methods_in_class,183.0,4.819672131147541,3.2791793903854893,1.0,2.0,4.0,7.0,14.0
is_invoke,183.0,0.1092896174863388,0.3128582135963319,0.0,0.0,0.0,0.0,1.0
file_loc,183.0,99.76502732240438,87.62253260857624,25.0,52.0,70.0,117.0,380.0
method_loc,183.0,12.420765027322405,12.090910465925793,0.0,3.0,7.0,18.0,59.0
cyclomatic_complexity,183.0,2.7158469945355193,3.0157316861475465,1.0,1.0,2.0,3.0,29.0
git_nb_authors,183.0,4.081967213114754,2.7131856421169274,1.0,2.0,3.0,7.0,10.0
git_days_since_change,183.0,567.3650273224044,332.9151808964116,65.0,205.0,578.9,874.1,1063.3
