feature,n_unique,dominant_value,dominant_pct,variance
nb_routes_method,1,0.0,100.0,0.0
has_route_attr,1,0.0,100.0,0.0
is_ajax_only,1,0.0,100.0,0.0
nb_class_grants,1,0.0,100.0,0.0
nb_voter_checks,1,0.0,100.0,0.0
nb_method_grants,1,0.0,100.0,0.0
has_file_download,1,0.0,100.0,0.0
has_render,2,0.0,96.7,0.0319
has_form,2,0.0,95.6,0.042
has_json,2,0.0,95.6,0.042
is_invoke,2,0.0,89.1,0.0979
has_redirect,2,0.0,85.2,0.1265
nb_response_types,3,0.0,80.3,0.2297
cyclomatic_complexity,12,1.0,48.6,9.0946
nb_constructor_deps,8,0.0,47.0,3.7336
nb_params,5,1.0,41.0,0.9869
git_days_since_change,30,205.0,35.5,110832.5177
method_loc,37,3.0,27.9,146.1901
nb_methods_in_class,9,2.0,26.2,10.753
git_nb_authors,10,1.0,24.6,7.3614
file_loc,47,135.0,7.7,7677.7082
